PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,PTS,REB,OREB,AST,STL,BLK,TOV,FG_PCT,FG3M,FG3_PCT,FT_PCT,PLUS_MINUS,SALARY
1630534,ochai agbaji,TOR,25,64,1738,667,242,61,98,58,30,54,0.498,101,0.399,0.708,-214,6383525
1641765,olivier-maxence prosper,DAL,22,52,584,201,126,44,40,26,6,14,0.402,12,0.235,0.645,-104,3007092
1630168,onyeka okongwu,ATL,24,74,2063,988,660,220,168,69,68,90,0.567,48,0.324,0.759,40,15000000
1631115,orlando robinson,TOR,24,44,769,303,220,89,77,17,16,49,0.444,17,0.327,0.771,-87,2087519
1631131,oscar tshiebwe,UTA,25,14,255,107,122,46,9,13,1,10,0.6,0,0.0,0.742,-11,578577
1629052,oshae brissett,PHI,27,6,142,52,22,7,4,4,3,8,0.487,6,0.333,0.571,-31,2500000
1642345,oso ighodaro,PHX,22,61,1045,255,222,66,71,28,29,39,0.604,0,0.0,0.58,-21,1955377
1631172,ousmane dieng,OKC,22,37,404,142,81,18,31,17,7,18,0.432,23,0.324,0.688,45,6670882
200782,p.j. tucker,NYK,40,3,57,9,8,4,0,1,1,1,0.429,3,0.5,0.0,-22,1857897
1629023,p.j. washington,DAL,26,57,1834,836,442,82,131,63,60,118,0.453,91,0.381,0.722,49,14152174
1628408,pj dozier,MIN,28,9,34,7,5,1,5,1,0,1,0.667,2,0.667,0.167,-4,1051255
1641790,pj hall,DEN,23,19,66,33,22,6,4,0,4,2,0.583,2,0.25,0.75,-2,578577
1642359,pacome dadiet,NYK,19,18,111,30,18,3,5,3,2,4,0.323,6,0.316,0.667,-16,2847600
1631094,paolo banchero,ORL,22,46,1581,1191,345,51,219,36,28,136,0.452,87,0.32,0.727,-21,15334769
1627783,pascal siakam,IND,31,78,2547,1578,540,133,263,70,42,109,0.519,126,0.389,0.734,312,45550512
1626192,pat connaughton,MIL,32,41,602,216,109,19,70,9,11,24,0.469,26,0.321,0.774,-13,9423869
1630311,pat spencer,GSW,28,39,249,98,46,15,48,14,3,18,0.406,5,0.227,0.733,-17,438810
1631116,patrick baldwin jr.,LAC,22,24,106,53,25,5,3,3,2,5,0.543,13,0.565,0.5,29,3498319
1630172,patrick williams,CHI,23,63,1576,566,237,43,124,48,32,86,0.397,96,0.353,0.723,-182,18000000
201988,patty mills,LAC,36,29,320,111,22,4,26,13,3,17,0.375,26,0.347,0.929,-15,2296274
202331,paul george,PHI,35,41,1333,665,219,24,178,75,20,106,0.43,96,0.358,0.814,-83,51666090
1630194,paul reed,DET,26,45,437,184,123,40,44,39,25,26,0.507,8,0.286,0.762,43,5335894
1630202,payton pritchard,BOS,27,80,2270,1144,307,102,279,70,14,83,0.472,255,0.407,0.845,430,7232143
1641796,pelle larsson,MIA,24,55,781,251,92,28,65,32,7,24,0.438,32,0.337,0.672,10,1955377
1631250,pete nance,MIL,25,13,138,38,21,5,10,2,2,4,0.438,9,0.375,0.5,-14,636434
1631212,peyton watson,DEN,22,68,1655,551,233,47,94,48,93,56,0.477,48,0.353,0.693,-26,4356476
1630762,phillip wheeler,PHI,23,5,44,8,8,2,2,1,2,1,0.143,0,0.0,1.0,13,66503
1630173,precious achiuwa,NYK,25,57,1169,379,317,101,55,47,42,45,0.502,10,0.278,0.594,-48,6000000
1629656,quentin grimes,PHI,25,75,2013,1092,324,59,228,74,22,141,0.467,162,0.385,0.757,-261,4296682
1631245,quenton jackson,IND,26,28,381,162,44,14,53,21,5,16,0.475,15,0.375,0.775,-1,636435
1642439,quincy olivari,LAL,24,2,10,3,0,0,1,0,0,1,0.2,1,0.2,0.0,-18,578577
1642366,quinten post,GSW,25,42,685,340,148,35,56,16,18,33,0.449,73,0.408,0.778,43,1955377
1629628,rj barrett,TOR,25,58,1868,1223,366,61,314,46,17,165,0.468,107,0.35,0.63,-139,27705357
1642484,rayj dennis,IND,24,11,70,30,12,2,14,7,2,5,0.333,6,0.286,1.0,44,636434
1641712,rayan rupert,POR,21,52,459,155,70,26,25,16,4,30,0.408,16,0.271,0.767,-86,2221677
1641736,reece beekman,BKN,23,36,469,93,39,13,63,33,2,21,0.327,7,0.175,0.762,-117,578577
1642263,reed sheppard,HOU,21,52,654,229,78,16,75,35,17,37,0.351,48,0.338,0.813,-50,10603560
202704,reggie jackson,PHI,35,31,383,136,42,8,45,16,3,17,0.391,25,0.338,0.778,-19,3303771
1626158,richaun holmes,WAS,31,31,534,230,177,62,42,9,23,21,0.647,0,0.0,0.833,-36,13280737
1641741,ricky council iv,PHI,23,73,1250,532,214,51,97,32,13,52,0.382,55,0.258,0.804,-159,2221677
1642434,riley minix,SAS,24,1,6,0,2,0,0,0,0,0,0.0,0,0.0,0.0,0,578577
1642265,rob dillingham,MIN,20,49,515,219,50,12,98,20,1,53,0.441,25,0.338,0.533,19,6576120
1629057,robert williams iii,POR,27,20,351,116,118,35,21,13,33,17,0.641,1,0.333,0.882,-17,13285713
1631199,ron harper jr.,DET,25,1,17,4,7,4,2,0,0,0,0.125,0,0.0,1.0,-1,315280
1641842,ronald holland ii,DET,19,81,1266,522,218,40,82,49,17,72,0.474,36,0.238,0.754,-55,8657280
1626220,royce o'neale,PHX,32,75,1836,680,349,53,163,67,34,65,0.423,179,0.406,0.731,-155,10125000
203497,rudy gobert,MIN,33,72,2388,866,785,265,127,56,104,89,0.669,0,0.0,0.674,327,35000000
1629060,rui hachimura,LAL,27,59,1868,775,295,79,83,45,26,49,0.509,102,0.413,0.77,158,18259259
201566,russell westbrook,DEN,36,75,2092,994,370,102,457,106,37,242,0.449,94,0.323,0.661,-24,3386366
1642346,ryan dunn,PHX,22,74,1410,511,267,92,57,44,40,40,0.43,82,0.311,0.487,-169,2657760
1631157,ryan rollins,MIL,22,56,819,349,108,21,104,42,17,53,0.487,49,0.408,0.8,83,4000000
1630573,sam hauser,BOS,27,71,1541,605,224,44,64,41,13,23,0.451,166,0.416,1.0,325,10044644
